# Days in Canada list
# 1st col - arrival in Canada
# 2nd col - departure from Canada
# (business trips for Canadian company omitted)
# last departure date 
# * now if in Canada
# * date if outside
#
2001-12-05 2001-12-09
2001-12-14 2002-02-05
2002-03-02 2002-04-05
2002-05-13 2002-09-06
2002-09-12 2002-10-04
2002-10-18 2002-11-03
2002-11-05 2002-11-17
2002-11-22 2002-12-13
2003-01-03 2003-01-05
2003-01-08 2003-02-26
2003-03-12 2003-04-17
2003-04-21 2003-05-25
2003-06-18 2003-07-26
2003-08-09 2003-10-20
2003-10-24 2003-11-14
2003-11-24 2004-01-04
2004-01-12 2004-02-24
2004-03-05 2004-04-03
2004-04-12 2004-05-14
2004-05-22 2004-06-12
2004-06-18 2004-09-06
2004-09-23 2004-10-26
2004-11-12 2005-01-11
2005-01-26 2005-03-24
2005-04-15 2005-05-28
2005-06-11 2005-08-06
2005-08-13 2005-12-09
2008-11-28 2009-01-03
2009-01-17 2009-02-09
2009-02-19 2009-06-23
2009-06-28 2009-12-24
2009-12-28 2010-04-08
2010-05-02 2010-07-09
2010-07-14 2011-02-17
2011-03-05 2011-04-27
2011-05-01 2011-05-23
2011-05-28 2011-06-13
2011-06-18 2011-07-17
2011-07-18 2011-08-15
2011-08-18 2011-08-31
2011-09-11 2011-09-20
2011-09-23 2011-10-12
2011-10-19 2011-10-31
2011-11-04 2011-12-20
2012-01-13 2012-01-20
2012-01-27 now
